Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Сірченко,Хома,Ярославович,Чоловік,1988-06-21,Драматург,село Голубівка,"набережна Чорноморський 1-й, буд. 9, Ладижин, 51055",+380 78 307-26-47,bohdannaskyrda@example.net
Годунок,Герман,Юрійович,Чоловік,1975-07-03,Круп'є,село Сіверськ,"парк Сурикова 2-й, буд. 940, Мала Виска, 69753",140 55 60,davyddrobakha@example.org
Гриценко,Андрій,Олександрович,Чоловік,1947-07-22,Науковець,хутір Люботин,"сквер Новгородський, буд. 7 кв. 8, Карлівка, 02040",670 01 60,skybaleopold@example.org
Копитко,Демʼян,Павлович,Чоловік,1938-05-12,Скульптор,село Баранівка,"набережна Патріотична, буд. 9 кв. 4, Вовчанськ, 25482",060 416 32 16,boryshavriushenko@example.com
Гузенко,Остап,Костянтинович,Чоловік,1972-02-14,Вчитель,село Галич,"провулок Гранатна, буд. 721, Радехів, 82896",+380 41 252-23-38,stusvarfolomii@example.com
Абрагамовський,Микита,Назарович,Чоловік,1962-07-27,Стиліст,селище Сновськ,"вулиця Промисловий, буд. 0, Городня, 38642",+380 (45) 695-70-61,andriidankevych@example.net
Єременко,Тетяна,Ярославівна,Жінка,1967-08-06,Кінолог,хутір Кременчук,"узвіз Балтський 3-й, буд. 2 кв. 6, Костянтинівка, 48012",889 88 11,qartemenko@example.net
Гавришкевич,Володимир,Тарасович,Чоловік,1961-02-26,Палеонтолог,село Бібрка,"вулиця Морехідна, буд. 9 кв. 253, Пологи , 19726",+380 (33) 994-47-67,dakhnoleon@example.com
Товстуха,Давид,Ілліч,Чоловік,1965-06-11,Актор,місто Гірське,"шосе Лютнева, буд. 21 кв. 61, Слов'янськ, 97650",154-07-27,petrykdemian@example.com
Єрошенко,Болеслав,Назарович,Чоловік,1939-09-27,Детектив,хутір Глухів,"сквер Академіка Воробйова, буд. 087, Молодогвардійськ, 68030",093 793-71-88,liudmyla38@example.com
Гунько,Панас,Павлович,Чоловік,1967-03-29,Локсмайстер,село Судова Вишня,"площа Грузинська, буд. 0 кв. 92, Харків, 21777",+380 27 504-13-19,iaroshorest@example.net
Проценко,Михайлина,Павлівна,Жінка,1991-11-26,Клоун,хутір Слов'янськ,"сквер Соляний 7-й, буд. 23, Вільногірськ, 13898",+380 39 870-00-48,orysiahaida@example.com
Вергун,Олекса,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1964-05-01,Дипломат,селище Ізяслав,"вулиця Херсонський, буд. 55, Підгайці, 80587",249-03-80,ielysei11@example.net
Данилюк,Лесь,Олександрович,Чоловік,1982-06-11,Реставратор,село Новояворівськ,"набережна Спортивний, буд. 765, Луганськ, 40634",035 156-10-64,iukhymtereshchenko@example.com
Орлик,Борис,Тарасович,Чоловік,1966-05-07,Агроном,селище Борщів,"провулок Алмазна, буд. 00 кв. 332, Мукачево, 38417",106-17-34,iosypshchyrytsia@example.org
Червоненко,Гордій,Святославович,Чоловік,2006-09-15,Фольклорист,село Нововолинськ,"проспект Георгія Гамова, буд. 07 кв. 55, Гнівань, 16754",+380 (24) 305-15-47,hkhrystych@example.com
Бевзенко,Алла,Степанівна,Жінка,1970-03-03,Маркетолог,село Решетилівка,"проспект Братська, буд. 241, Новомиргород, 50392",004 388-84-79,havriushenkoadam@example.net
Дурдинець,Галина,Євгенівна,Жінка,1941-08-10,Драматург,селище Біляївка,"набережна Лесі Українки, буд. 37, Благовіщенське, 83762",+380 81 256 51 41,onysym87@example.com
Тригуб,Тетяна,Степанівна,Жінка,1950-08-06,Професор,місто Дружба ,"сквер Саксаганського, буд. 79, Козятин, 72171",021 257-61-12,rmykhaliuk@example.com
Демʼянчук,Алевтин,Ілліч,Чоловік,1949-06-30,Водій,місто Монастирище,"сквер Водопровідна, буд. 53 кв. 41, Генічеськ, 55433",+380 85 295 01 32,aopanasenko@example.net
Хмара,Пріска,Степанівна,Жінка,1973-07-19,Мистецтвознавець,місто Дунаївці,"вулиця Машинобудівний, буд. 1 кв. 723, Вугледар, 41562",582-01-92,vasylenkoiakiv@example.com
Шахрай,Роман,Ілліч,Чоловік,1948-06-28,Ювелір,хутір Первомайський ,"узвіз Керченський 1-й, буд. 4 кв. 44, Зіньків, 87547",+380 (39) 938-77-35,gzinchuk@example.net
Дробаха,Святослав,Ілліч,Чоловік,1973-04-14,Провізор,селище Турка,"вулиця Чорноморський 6-й, буд. 784 кв. 7, Липовець, 78184",+380 98 636-82-91,udurdynets@example.net
Джус,Аврелій,Назарович,Чоловік,1992-12-13,Мікробіолог,хутір Немирів,"провулок Брестська, буд. 581 кв. 6, Копичинці, 15276",002 657-49-32,liza56@example.org
Бандурка,Амалія,Степанівна,Жінка,2007-04-01,Кінокритик,селище Вашківці,"шосе Проектний 5-й, буд. 3, Сіверськ, 86360",043 872 28 07,vdovychenkoalevtyn@example.com
Коваленко,Олександр,Тарасович,Чоловік,1940-11-07,Бібліотекар,хутір Полонне,"шосе Балтський 4-й, буд. 9, Оріхів, 40146",057 386 87 82,violettarebryk@example.org
Мірошниченко,Камілла,Ярославівна,Жінка,1985-11-11,Журналіст,село Винники,"шосе Дем’янова, буд. 621, Світловодськ, 89583",+380 11 191-71-15,gudovychenko@example.org
Смик,Альбіна,Євгенівна,Жінка,2006-09-23,Стропальник,місто Синельникове,"провулок Василя Кандинського 5-й, буд. 04, Нетішин, 76671",805 06 51,erika94@example.org
Бевз,Єфрем,Максимович,Чоловік,2001-10-14,Будник,селище Новоград-Волинський,"вулиця Роздольна, буд. 21 кв. 887, Копичинці, 15427",064 563-68-39,mkovpak@example.com
Тимченко,Леонтій,Ілліч,Чоловік,1966-01-21,Нотаріус,селище Славутич,"узвіз Аркадійська, буд. 4, Трускавець, 79583",+380 52 056-81-28,olhakonoplenko@example.com
Гоголь,Розалія,Євгенівна,Жінка,1965-03-04,Археолог,село Вугледар,"набережна Балтський 2-й, буд. 595, Львів, 75372",+380 (85) 556-97-39,violettaeibozhenko@example.org
Ляшко,Венедикт,Ілліч,Чоловік,1938-05-19,Кушнір,селище Тернівка ,"набережна Курська, буд. 1 кв. 87, Снігурівка, 47110",042 416 63 07,ushakhrai@example.net
Бгиденко,Амвросій,Святославович,Чоловік,1956-04-29,Кухар,село Рубіжне,"проспект Курська, буд. 171, Сновськ, 99300",025 685 58 83,piaremenko@example.com
Удовиченко,Левко,Юрійович,Чоловік,1980-03-14,Паралегал,селище Миргород,"набережна Чорноморський, буд. 7 кв. 11, Хотин, 33356",009 800 60 41,viacheslavskoryk@example.com
Дрозд,Оксенія,Святославівна,Жінка,1977-09-02,Ґрунтознавець,місто Рені,"узвіз Герцена, буд. 370, Чернівці, 98434",088 418 17 33,leonid06@example.com
Гресь,Вадим,Павлович,Чоловік,1945-07-29,Слідчий,місто Узин,"площа Павла Шклярука, буд. 66, Самбір, 13610",+380 34 855 53 27,cbezditko@example.org
Якимчук,Зиновій,Максимович,Чоловік,1985-12-08,Золотар,селище Снятин,"вулиця Матюшенка, буд. 229 кв. 70, Алупка, 72439",+380 40 793 55 79,aoberemko@example.org
Чуйко,Віолетта,Іллівна,Жінка,1946-09-30,Флорист,місто Сулимівка (Слов'янськ),"набережна Олександра Невського, буд. 11, Щолкіне, 54375",072 022-16-92,ivanchenkosofiia@example.com
Гавриленко,Валентина,Святославівна,Жінка,1971-06-19,Єгер,хутір Сарни,"вулиця Соляний 5-й, буд. 0 кв. 70, Бунге , 38350",+380 16 010-70-55,svitlana40@example.com
